2022-05-18,2022-05-19,2022-05-20,2022-05-21,2022-05-22,2022-05-23,2022-05-24,2022-05-25,2022-05-26,2022-05-27,2022-05-28,2022-05-29,2022-05-30,2022-05-31,2022-06-01,2022-06-02,2022-06-03,2022-06-04,2022-06-05,2022-06-06,2022-06-07,2022-06-08,2022-06-09,2022-06-10,2022-06-11,2022-06-12,2022-06-13,2022-06-14,2022-06-15,2022-06-16,2022-06-17,2022-06-18,2022-06-19,2022-06-20,2022-06-21,2022-06-22,2022-06-23,2022-06-24,2022-06-25,2022-06-26,2022-06-27,2022-06-28,2022-06-29,group
0.0,0.0,3.393022337769985,0.0,2.391688256573245,0.0,0.0,4.430695890209081,6.698008075412882,2.660935193227855,0.0,2.3144579685495126,5.820322325580749,0.0,6.928176316054401,0.0,3.747931016555601,0.0,0.0,0.0,3.9905632344694126,1.5905875504324107,3.5612977270043116,2.540042036845348,0.0,0.0,0.0,0.0,4.4417951100084245,0.0,0.0,3.8851632525717754,0.0,3.091937703218903,3.3827936886662617,0.0,6.510522677104028,0.0,0.0,5.411508746247692,0.0,3.417851812114672,12.444899856359577,control
0.0,4.618215006755527,0.0,2.0731764003263513,0.0,3.2313374118003324,0.0,2.7125649303718466,0.0,0.0,7.025230322403614,0.0,0.0,0.0,4.669364904293863,2.572516773317111,1.9778514136440206,2.6245750859321957,2.2745483486625218,8.4605122129834,4.729616079633363,2.6821140467648883,0.0,0.0,0.0,0.0,0.0,3.878433139220658,0.0,11.245097813796168,0.0,0.0,0.0,0.0,0.0,2.940089447189285,1.0,0.0,2.462656252734684,0.0,3.937143921718645,0.0,0.0,control
3.9185614596397693,0.0,3.055044435772961,0.0,3.302774457602375,0.0,2.9289420138350892,3.697669187723605,0.0,0.0,0.0,1.0,6.8693296927367715,0.0,0.0,4.05586734111537,2.6819424519994035,3.4736435331847835,2.1820622080234293,0.0,0.0,0.0,1.2197000921901677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2677680037147527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,control
0.0,4.59817616464689,10.117999137900316,4.524891758384046,0.0,0.0,0.0,3.2948378956170483,11.008969316996387,0.0,0.0,0.0,0.0,0.0,0.0,2.9925814475739165,0.0,0.0,0.0,0.0,0.0,5.275287366104786,2.818579641869484,3.0898863955111198,0.0,3.5370990803528652,0.0,3.819182043908585,3.6985730170770124,0.0,7.759576955319332,0.0,2.669520387369375,3.2011516513407305,3.180351991393083,4.004896794054105,0.0,0.0,0.0,3.6244938906408732,0.0,4.449622575914814,1.864296997717973,control
0.0,0.0,3.257095139591021,0.0,0.0,11.031424125757361,0.0,0.0,0.0,1.4285824894033123,0.0,1.0372501856588123,3.3550305065463375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.74162166731063,0.0,3.465289815736133,0.0,2.0737836038542214,0.0,2.2405834784626406,1.8280240185059313,0.0,4.768257738842916,0.0,0.0,1.8094309448389716,0.0,2.8852250996134194,0.0,1.0,0.0,0.0,0.0,2.77497878491068,0.0,control
0.0,11.116851261345241,4.445411191864478,0.0,0.0,2.060284277357643,0.0,0.0,2.6662615656629804,0.0,0.0,2.346829232421192,0.0,0.0,3.4676045408365526,0.0,0.0,0.0,0.0,0.0,7.1637702756379324,0.0,0.0,2.2809436842930304,0.0,0.0,0.0,0.0,2.662332766776835,0.0,3.87496236520867,0.0,7.500672045920453,0.0,2.4677958427948252,2.62308347361539,3.3317705948490532,0.0,0.0,0.0,0.0,0.0,0.0,control
3.8764768770497104,4.166824580793586,0.0,0.0,3.9137190703024567,5.975213177248288,0.0,0.0,0.0,0.0,2.3715041319712205,0.0,0.0,0.0,2.0626832784276834,0.0,0.0,0.0,0.0,0.0,6.804165044564313,5.6105932901063165,0.0,0.0,0.0,3.518332837736307,0.0,0.0,0.0,3.601824627715153,1.0108994281302512,6.389957103680635,4.451941493441277,0.0,0.0,6.657333297103337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,control
1.8236678876804175,3.958146689358772,2.926398476112905,0.0,0.0,3.0962000757965615,8.136455683234239,0.0,3.076180938694487,3.7533936850697485,0.0,0.0,0.0,3.1851634911095337,0.0,0.0,0.0,3.554093379350815,0.0,1.7842758400011753,2.608258215209168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8754573413001854,7.2882230276021085,0.0,5.219555606131891,5.266204288598852,0.0,0.0,2.2245556778882234,4.3641847918811685,1.253548256566804,0.0,0.0,0.0,0.0,0.0,control
7.591291920729466,0.0,2.140231145481533,0.0,0.0,0.0,2.868996224399742,1.8480042747438168,0.0,5.957314389535348,0.0,1.950692937438178,2.5825157853253806,0.0,0.0,0.0,5.235760763902958,0.0,0.0,2.9409865390175556,0.0,0.0,1.6705931835079852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.587728361023256,11.28254025530677,0.0,0.0,3.9942245233542675,5.52692597105373,4.180848506832005,3.102098579827568,4.0710929614658795,0.0,6.304956869170071,0.0,0.0,control
0.0,4.237028157837434,0.0,0.0,0.0,0.0,3.5279833665232,0.0,0.0,0.0,0.0,0.0,0.0,3.989306295461783,0.0,0.0,3.7604537515440444,0.0,4.40156849441135,0.0,0.0,0.0,2.1945173759664414,0.0,0.0,0.0,4.301380214121039,2.1839235955716614,0.0,0.0,0.0,3.0200015585412805,2.8653097105837517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.8643188328131,control
